"Name","ID","Class","Entry","Symbol","EC","KO","Description"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","3101","HK3","2.7.1.1","K00844","hexokinase 3"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","3098","HK1","2.7.1.1","K00844","hexokinase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","3099","HK2","2.7.1.1","K00844","hexokinase 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","80201","HKDC1","2.7.1.1","K00844","hexokinase domain containing 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2645","GCK","2.7.1.2","K12407","glucokinase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2821","GPI","5.3.1.9","K01810","glucose-6-phosphate isomerase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5213","PFKM","2.7.1.11","K00850","phosphofructokinase, muscle"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5214","PFKP","2.7.1.11","K00850","phosphofructokinase, platelet"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5211","PFKL","2.7.1.11","K00850","phosphofructokinase, liver type"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2203","FBP1","3.1.3.11","K03841","fructose-bisphosphatase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","8789","FBP2","3.1.3.11","K03841","fructose-bisphosphatase 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","230","ALDOC","4.1.2.13","K01623","aldolase, fructose-bisphosphate C"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","226","ALDOA","4.1.2.13","K01623","aldolase, fructose-bisphosphate A"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","229","ALDOB","4.1.2.13","K01623","aldolase, fructose-bisphosphate B"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","7167","TPI1","5.3.1.1","K01803","triosephosphate isomerase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2597","GAPDH","1.2.1.12","K00134","glyceraldehyde-3-phosphate dehydrogenase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","26330","GAPDHS","1.2.1.12","K10705","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5232","PGK2","2.7.2.3","K00927","phosphoglycerate kinase 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5230","PGK1","2.7.2.3","K00927","phosphoglycerate kinase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5223","PGAM1","5.4.2.11","K01834","phosphoglycerate mutase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5224","PGAM2","5.4.2.11","K01834","phosphoglycerate mutase 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","441531","PGAM4","5.4.2.11","K01834","phosphoglycerate mutase family member 4"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2027","ENO3","4.2.1.11","K01689","enolase 3"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2026","ENO2","4.2.1.11","K01689","enolase 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2023","ENO1","4.2.1.11","K01689","enolase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5315","PKM","2.7.1.40","K00873","pyruvate kinase, muscle"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5313","PKLR","2.7.1.40","K12406","pyruvate kinase, liver and RBC"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5161","PDHA2","1.2.4.1","K00161","pyruvate dehydrogenase (lipoamide) alpha 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5160","PDHA1","1.2.4.1","K00161","pyruvate dehydrogenase (lipoamide) alpha 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5162","PDHB","1.2.4.1","K00162","pyruvate dehydrogenase (lipoamide) beta"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","1737","DLAT","2.3.1.12","K00627","dihydrolipoamide S-acetyltransferase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","1738","DLD","1.8.1.4","K00382","dihydrolipoamide dehydrogenase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","160287","LDHAL6A","1.1.1.27","K00016","lactate dehydrogenase A like 6A"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","92483","LDHAL6B","1.1.1.27","K00016","lactate dehydrogenase A like 6B"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","3939","LDHA","1.1.1.27","K00016","lactate dehydrogenase A"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","3945","LDHB","1.1.1.27","K00016","lactate dehydrogenase B"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","3948","LDHC","1.1.1.27","K00016","lactate dehydrogenase C"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","124","ADH1A","1.1.1.1","K13951","alcohol dehydrogenase 1A (class I), alpha polypeptide"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","125","ADH1B","1.1.1.1","K13951","alcohol dehydrogenase 1B (class I), beta polypeptide"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","126","ADH1C","1.1.1.1","K13951","alcohol dehydrogenase 1C (class I), gamma polypeptide"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","131","ADH7","1.1.1.1","K13951","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","127","ADH4","1.1.1.1","K13980","alcohol dehydrogenase 4 (class II), pi polypeptide"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","128","ADH5","1.1.1.1 1.1.1.284","K00121","alcohol dehydrogenase 5 (class III), chi polypeptide"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","130","ADH6","1.1.1.1","K13952","alcohol dehydrogenase 6 (class V)"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","10327","AKR1A1","1.1.1.2","K00002","aldo-keto reductase family 1 member A1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","217","ALDH2","1.2.1.3","K00128","aldehyde dehydrogenase 2 family (mitochondrial)"
