Used_ID,Abb,KEGG.ID,Nr.C,Polarity,Rt,formula,Pathway
"1,3-Bisphosphoglycerate",13BPG,C00236,3,neg,26.8,C3H8O10P2,Glycolysis
"2,3-Bisphosphoglycerate",23BPG,C01159,3,neg,26.8,C3H8O10P2,Glycolysis
1-palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine,PC(34:2),X00001,42,pos,5.5,C42H80NO8P,Glycerophospholipid metabolism
1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,PC(38:4),X00002,46,pos,6,C46H84NO8P,Glycerophospholipid metabolism
2-Aminobutyrate,2-AB,C02356,4,pos,8.2,C4H9NO2,
2-HG,2-HG,C02630,5,neg,16.7,C5H8O5,
2-Hydroxybutyrate,2-HB,C05984,4,neg,8,C4H8O3,
2-Isopropylmalic acid,2-Isopropylmalic acid,C02504,7,neg,15.7,C7H12O5,"Valine, leucine and isoleucine degradation"
2-Keto-3-methylvalerate,KMV,C03465,6,neg,,C6H10O3,
2-Ketobutyric Acid,2-KB,C00109 ,4,neg,,C4H6O3,
2-Ketocaproic Acid,2-KC,C00902,6,neg,8.3,C6H10O3,
2-Ketoisocaproic Acid,KIC,C00233,6,neg,7.8,C6H10O3,"Valine, leucine and isoleucine degradation"
2-Ketoisovalerate,KIV,C00141,5,neg,8.1,C5H8O3,
2-Ketovalerate,2-KV,C06255,5,neg,9,C5H8O3,
2-Oxoadipate,2-Oxoadipate,C00322,6,,,,
2-Oxosuccinamate,2-Oxosuccinamate,C02362,4,,,,
3-HG,3-HG,HMDB00428,5,,,,
3-Hydroxybutyrate,3-HB,C01089,4,,,,Ketone body degradation
3-Hydroxybutyryl-CoA,3-Hydroxybutyryl-CoA,C01144,25,pos,15.5,,
3-Phosphoglycerate,3PG,C00197,3,,,,
4-Hydroxyphenyllactate,4-OH-PheLac,C03672,9,,,,
5'-Methyladenosine,5M-adenosine,C00170,11,,,,
5-Oxoproline,5-Oxoproline,C01879,5,,,,
6-Phosphogluconate,6P-gluconate,C00345,6,,,,
A,A,C00212,10,,,,
Acetoacetic acid,Acetoacetate,C00164,4,,,,
Acetoacetyl-CoA,Acetoacetyl-CoA,C00332,25,,,C25H40N7O18P3S,"Valine, leucine and isoleucine degradation"
Acetylcarnitine,Ac-carnitine,C02571,9,,,,
Acetylcholine,Ac-choline,C01996,7,,,,
Acetyl-CoA,Acetyl-CoA,C00024,23,,,,
Aconitic acid,Aconitate,C00417,6,,,,
Adenine,Adenine,C00147,5,,,,
ADP,ADP,C00008,10,,,,
a-Ketoglutarate,a-KG,C00026,5,,,,
Alanine,Ala,C00041,3,,,,
Allantoin,Allantoin,C02350,4,,,,
AMP,AMP,C00020,10,,,,
Arginine,Arg,C00062,6,,,,
Argininosuccinate,Arg-Succ,C03406,10,,,,
Ascorbic acid (Vitamin C),Vit-C,C00072,6,,,,
Asparagine,Asn,C00152,4,,,,
Aspartic Acid,Asp,C00049,4,,,,
AspNAc,AspNAc,C01042,6,,,,
ATP,ATP,C00002,10,,,,
beta-Alanine,b-Ala,C00099,3,,,,
Betaine,Betaine,C00719,5,,,,
Biotin (Vitamin B7),Biotin,C00120,10,,,,
Biliverdin,Biliverdin,C00500,33,,,,
C,C,D07769,9,,,,
Carbamoyl-Asp,Carbamoyl-Asp,C00438,5,,,,
Carbamoyl-P,Carbamoyl-P,C00169,1,,,,
Carnitine,Carnitine,C00318,7,,,,
CDP,CDP,C00112,9,,,,
CDP-choline,CDP-choline,C00307,14,,,,
CDP-ethanolamine,CDP-EtA,C00570,11,,,,
Cholesterol sulfate,Cholesterol sulfate,C18043,27,,,,
Choline,Choline,C00114,5,,,,
Cinnamic acid,Cinnamic acid,C00423,9,,,,
Citraconic acid,Citraconic acid,C02226,5,,,,
Citrate,Cit,C00158,6,,,,
Citrulline,Citrulline,C00327,6,,8.9,,
CMP,CMP,C00055,9,,,,
CoA,CoA,C00010,21,,,,
Creatine,Creatine,C00300,4,,,,Arginine and proline metabolism
Creatinine,Creatinine,C00791,4,,4,,Arginine and proline metabolism
CTP,CTP,C00063,9,,,,
Cystathionine,Cystathionine,C02291,7,,,,
Cysteine,Cys,C00097,3,,,,
Cystine,Cystine,C00491,6,,,,
Cys Sulfinic Acid,Cys Sulfinic Acid,C00606,3,,,,
Cytosine,Cytosine,C00380,4,,,,
dA,dA,C00559,10,,,,
dAMP,dAMP,C00360,10,,,,
dATP,dATP,C00131,10,,,,
dC,dC,C00881,9,,,,
dCDP,dCDP,C00705,9,,,,
dCMP,dCMP,C00239,9,,,,
dCTP,dCTP,C00458,9,,,,
